Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Thực tế]
427.88,3.92,6.3
427.84,3.96,5.2
427.74,2.16,5.2
427.68,3.66,5.2
427.6,2.46,5.2
427.53,2.81,5.2
427.42,2.4,5.2
427.35,3.5,5.2
427.27,2.94,5.2
427.2,3.5,5.2
427.12,2.39,5.2
427.01,1.54,4.5
426.9,1.2,4.0
426.78,0.44,4.0
426.65,1.2,4.0
426.53,1.25,4.0
426.45,1.92,4.0
426.33,2.15,4.0
426.25,1.22,4.0
426.15,1.22,4.0
426.01,2.0,4.0
425.86,0.0,4.0
426.02,18.03,2.2
426.82,22.56,4.0
427.45,15.82,4.0
427.51,2.0,4.0
427.38,2.0,4.0
427.26,2.0,4.0
427.14,15.19,10.5
427.73,25.72,4.0
428.05,3.24,4.0
427.93,2.0,4.0
427.81,2.05,4.2
427.69,2.0,4.0
427.57,2.0,4.0
427.45,2.0,4.0
427.33,2.0,4.0
427.21,2.0,4.0
427.07,2.0,4.0
426.89,1.59,4.0
426.81,12.42,4.0
427.46,24.69,4.0
428.13,27.3,5.9
428.38,5.61,9.4
